length,coverage,directness
40.13067563800001,9.623615280430633,165.36109662786887
66.66525522519997,15.098642071410874,160.99629808586187
87.79641513110006,18.5158061408985,123.90653947030096
127.72685687010011,25.639086315657273,133.91190820059123
143.3043993558001,29.214003963563545,135.21641747229629
188.6501072233002,36.417247943792525,130.2787571610298
201.01090850050008,38.95018931872905,125.04514303516018
220.78188913149998,42.41781754144754,140.40312973787704
257.6217762147999,46.17818926674406,138.51603938281983
269.8151062754,48.6735611032818,136.98119787829424
313.3636999842999,53.168259169123885,142.63826355864558
327.8849042382998,54.262116588981186,141.5795081217794
348.9018603621,58.099024733819974,143.13670954625525
368.31103572609993,62.339100162225726,143.19177454189415
390.31792623,66.08166649222827,142.84167757047578
409.21649413330005,66.94189975534852,146.63620126517304
443.2518369090002,71.63444069481709,144.253338088003
461.7403114253996,74.71549199955936,145.69973294926004
495.5898479429997,79.96546386923822,144.53127578855225
509.3503572793996,81.19090675538403,145.2594836344112
517.6800405365998,81.59913207352058,146.66718609794313
532.4736979912003,82.8780723554177,146.77526638127972
562.3896874622005,83.7262799378977,146.5934268081054
577.7081443939009,85.70899442471676,148.2046182642805
582.5287423322009,85.70900085970007,148.1000264925013
608.6688802551998,87.14858756361822,150.59707390659202
608.6688802551998,87.14858756361822,148.95766274197112
616.3743159155001,87.45861894856633,150.84879762314188
634.6803425185005,88.71916892558127,151.25226297028203
660.0399752464006,89.84361109558607,149.1480476877719
683.5905466574008,90.33222822008632,149.43729663099796
700.8015612041008,91.93484414250422,150.21002132773035
723.2966143608012,92.5229501816558,150.3373953618657
740.6662604704011,93.68290079178156,150.13622912913405
769.7739880510017,96.24587404788915,150.31475184906776
769.7739880510017,96.24587404788915,150.3504860147775
792.720982751001,96.45232125685848,153.7092246247373
792.720982751001,96.45232125685848,153.02605081603033
792.720982751001,96.45232125685848,153.4069862993407
792.720982751001,96.45232125685848,154.0156323828409
36.993343889300036,9.860924952438134,197.19558522989462
67.77907787950015,16.395919343442397,189.9447951312654
82.48007129200026,18.668744923062047,139.19730855234425
116.81797217250043,24.615076445308773,139.0980955483854
143.0080773704996,29.72484516719452,142.44440205058413
155.95154289129906,32.55735885844673,143.8541354945328
195.74179787379737,38.77993357712416,146.07562846650598
201.83164808919707,39.272772518330214,154.92824646915804
232.11618794009556,42.475077695213166,155.91097719049637
259.17080701589407,47.96694397033761,156.56217742185007
298.87128964849177,55.70914103495679,156.14387317870305
305.61537197759134,55.88226363182573,156.56318544853127
324.06417680719005,59.02382719793299,150.6938564192979
346.19535556818846,62.72343120710945,153.0082873410668
380.3638572876866,68.29606427881093,152.27113630592046
419.23325941398366,72.14121460013534,154.16769217569373
419.23325941398366,72.14121460013534,151.75806030086548
446.2238193800823,77.61174347688922,152.41116269686012
446.2238193800823,77.61174347688922,153.1168481250937
477.7570111467804,80.204319716603,158.26243127573127
486.5384185687799,81.38308800284216,156.78073165674485
508.12753410737844,83.42656755029225,158.42240906750897
520.9400029178804,85.40880991476054,156.7701701121506
520.9400029178804,85.40880991476054,157.87170554082098
537.638641486784,86.38140335493989,158.86571303543687
565.1079393745912,87.46461970595186,159.81440341973197
565.1079393745912,87.46461970595186,159.9184392223042
568.4218919956919,87.4646197047738,161.3208706883363
586.4649159527943,87.66845456633204,160.21812686390186
624.861717364701,89.51742890324438,158.90732193350854
624.861717364701,89.51742890324438,158.87300070790505
654.9573105068074,92.0573261023606,158.0584306080599
697.6560759791155,94.03936555686128,159.40264451087424
697.6560759791155,94.03936555686128,159.71487367816087
732.5569234832209,95.1399480425823,160.52377303154123
732.5569234832209,95.1399480425823,159.69265679048408
732.5569234832209,95.1399480425823,160.5666133791114
732.5569234832209,95.1399480425823,160.59055024876315
743.2900903485232,95.17857334222082,161.7019214771038
743.2900903485232,95.17857334222082,160.62333514910014
26.460456716299998,9.860924952438134,270.881896019028
48.919536763400004,16.395919343442397,262.182810869212
58.968513099499994,18.671693399784754,193.91521804800794
77.64489803639994,23.98663547976175,199.5282595162694
91.38074500649992,27.031464911699203,206.7506145811893
115.28079843229995,34.01341572499412,199.225134810898
128.22388724109996,37.54918180103773,214.82738114339517
143.32494099439975,40.72174824853131,221.00735709958442
157.53016097299994,43.55035969871547,220.75058197114467
177.10810176319984,47.92192248636776,213.7291799420343
196.92871242319976,50.55826937089524,218.3086534060784
201.53047268019975,50.7353829552878,217.09765519147072
223.4409947337996,58.12957041225575,215.3903124844362
245.17917300279944,64.61208048145734,213.98688756345325
257.34274250729953,66.62251257070984,212.07859748920453
280.4270836409996,71.55915160409468,212.13767712576788
305.657899151899,74.74775638805873,211.09035472215243
321.11134044289867,77.89270546535568,209.3335338852406
325.1083285623986,77.95519348760685,210.4050860985615
339.48011818859885,79.98536738486581,214.88429066469627
362.249693904499,82.94857421922266,216.47583688262367
362.249693904499,82.94857421922266,216.4942763747881
386.1847451863989,86.09190981387637,222.3949318083251
386.1847451863989,86.09190981387637,222.691478596109
394.239325944299,86.70919713985545,221.20684789939767
409.1795878857993,87.17651489409735,221.17392328884213
415.668729794899,87.45338219827008,221.73895155168705
421.07808244179904,88.24634321610182,222.9002674866825
436.86720796149905,88.70473219002585,222.45446479704836
451.1363578076991,89.43681020497039,221.40513379138235
472.2003882180998,91.80873723756766,220.77535116457963
480.6466968460998,92.39294650897544,223.67920266322506
502.9156721472999,94.03441593612365,223.09049831839727
522.7296916221998,94.9963911822013,224.26881979035096
522.7296916221998,94.9963911822013,221.0780638570419
522.7296916221998,94.9963911822013,222.53288244748097
539.6356052484001,95.18297075795185,223.83596106579503
539.6356052484001,95.18297075795185,223.3894182321136
539.6356052484001,95.18297075795185,226.2932993056743
539.6356052484001,95.18297075795185,222.74617911067708
